,축,모터 정격 토크,감속비,감속기 토크,변환 비율,,,,,,,
IR-R4-56S5-C1H-INT_01741030,J6,0.29,38.88888889,12,0.939814815,,,,,,,
IR-R4H-54S5,J1,1.27,86.96,82,1.346819512,,,,,,,
IR-R4H-54S5,J2,1.27,81,63,1.632857143,,,,,,,
IR-R4H-54S5,J3,0.96,54.88,25,2.107392,,,,,,,
IR-R4H-54S5,J4,0.32,66.67,16,1.3334,,,,,,,
IR-R4H-54S5,J5,0.16,66.67,3.7,2.883027027,,,,,,,
IR-R4H-54S5,J6,0.32,39.67,11,1.154036364,,,,,,,
IR-R7H-70S5,J1,1.27,86.96,145,0.761649655,,,,,,,
IR-R7H-70S5,J2,2.39,101,145,1.664758621,,,,,,,
IR-R7H-70S5,J3,1.27,67.2,63,1.354666667,,,,,,,
IR-R7H-70S5,J4,0.32,69.44,16,1.3888,,,,,,,
IR-R7H-70S5,J5,0.32,87.8,16,1.756,,,,,,,
IR-R7H-70S5,J6,0.16,49.58,11,0.721163636,,,,,,,
IR-R7H-90S5,J1,1.27,108.7,145,0.952062069,,,,,,,
IR-R7H-90S5,J2,2.39,121,145,1.994413793,,,,,,,
IR-R7H-90S5,J3,1.27,84,63,1.693333333,,,,,,,
IR-R7H-90S5,J4,0.32,69.44,16,1.3888,,,,,,,
IR-R7H-90S5,J5,0.32,87.8,16,1.756,,,,,,,
IR-R7H-90S5,J6,0.16,49.58,11,0.721163636,,,,,,,
IR-R10-110S5,J1,2.39,120,255,1.124705882,,,,,,,
IR-R10-110S5,J2,4.77,161,255,3.011647059,,,,,,,
IR-R10-110S5,J3,2.39,112.5,105,2.560714286,,,,,,,
IR-R10-110S5,J4,0.96,83.33,34,2.352847059,,,,,,,
IR-R10-110S5,J5,0.96,80,34,2.258823529,,,,,,,
IR-R10-110S5,J6,0.32,50,16,1,,,,,,,
IR-R10-140S5,J1,2.39,101.52,255,0.951501176,,,,,,,
IR-R10-140S5,J2,4.77,121,255,2.263411765,,,,,,,
IR-R10-140S5,J3,2.39,121,105,2.754190476,,,,,,,
IR-R10-140S5,J4,0.96,81.6,34,2.304,,,,,,,
IR-R10-140S5,J5,0.96,90,34,2.541176471,,,,,,,
IR-R10-140S5,J6,0.32,50,16,1,,,,,,,
IR-R10H-120S5,J1,2.39,120,255,1.124705882,,,,,,,
IR-R10H-120S5,J2,4.77,161,255,3.011647059,,,,,,,
IR-R10H-120S5,J3,2.39,112.5,105,2.560714286,,,,,,,
IR-R10H-120S5,J4,0.96,83.33,34,2.352847059,,,,,,,
IR-R10H-120S5,J5,0.32,87.8,16,1.756,,,,,,,
IR-R10H-120S5,J6,0.32,49.58,11,1.442327273,,,,,,,
IR-R11-90S5,J1,2.39,120,255,1.124705882,,,,,,,
IR-R11-90S5,J2,4.77,161,255,3.011647059,,,,,,,
IR-R11-90S5,J3,2.39,112.5,105,2.560714286,,,,,,,
IR-R11-90S5,J4,0.96,83.33,34,2.352847059,,,,,,,
IR-R11-90S5,J5,0.96,80,34,2.258823529,,,,,,,
IR-R11-90S5,J6,0.32,50,16,1,,,,,,,
IR-R15H-145S5,J1,4.77,141,343,1.960845481,,,,,,,
IR-R15H-145S5,J2,4.77,141,343,1.960845481,,,,,,,
IR-R15H-145S5,J3,2.39,151.88,145,2.503401379,,,,,,,
IR-R15H-145S5,J4,0.96,59.3,34,1.674352941,,,,,,,
IR-R15H-145S5,J5,0.96,92.73,34,2.618258824,,,,,,,
IR-R15H-145S5,J6,0.32,59.16,16,1.1832,,,,,,,
IR-R16-210S5,J1,4.77,111.24,441,1.203208163,,,,,,,
IR-R16-210S5,J2,4.77,161,441,1.741428571,,,,,,,
IR-R16-210S5,J3,4.77,121,255,2.263411765,,,,,,,
IR-R16-210S5,J4,1.27,76.95,63,1.551214286,,,,,,,
IR-R16-210S5,J5,0.96,94.74,34,2.675011765,,,,,,,
IR-R16-210S5,J6,0.32,56.25,16,1.125,,,,,,,
IR-R25-178S5,J1,4.77,111.24,441,1.203208163,,,,,,,
IR-R25-178S5,J2,4.77,161,441,1.741428571,,,,,,,
IR-R25-178S5,J3,4.77,121,255,2.263411765,,,,,,,
IR-R25-178S5,J4,1.27,76.95,63,1.551214286,,,,,,,
IR-R25-178S5,J5,0.96,94.74,34,2.675011765,,,,,,,
IR-R25-178S5,J6,0.32,56.25,16,1.125,,,,,,,
